,seed,actions
53,53,"[1, 2, 1, 1, 3, 2, 0, 0, 3, 1, 2, 1, 2, 2, 1, 3, 1, 3, 3, 0, 2, 3, 2, 0, 0, 3, 1, 2, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 1, 2, 2, 0, 2, 0, 3, 3, 1, 3, 0, 2, 3, 1, 1, 2, 3, 2, 0, 3, 0, 2, 0, 0, 3, 1]"
54,54,[]
55,55,"[3, 2, 1, 1, 3, 3, 0, 2, 3, 2, 1, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 3, 0, 0, 2, 1, 3, 1, 3, 2, 3, 1, 2, 2, 0, 3, 3, 0, 2, 0, 2, 1, 3, 3, 1, 2, 1, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 3, 2, 1, 3, 3, 3, 0, 2, 3, 3, 1, 2, 2, 0, 0, 2, 0, 2, 1]"
56,56,"[3, 2, 0, 0, 3, 3, 1, 2, 3, 2, 0, 2, 1, 1]"
57,57,"[2, 2, 1, 3, 2, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 1, 2, 3, 2, 0, 3, 0, 2, 3, 2, 0, 2, 2, 1, 1, 1, 3, 2, 0, 0, 0, 3, 3, 3, 1, 2, 1, 3, 1, 2, 3, 2, 0, 3, 0, 2, 0, 2, 2, 1, 3, 2, 1, 1, 3, 2, 0, 0, 3, 0, 3, 1, 3, 1, 1, 2, 0, 0, 3, 2, 2, 2, 1, 1, 3, 2, 0, 0, 3, 3, 3, 0, 2, 3, 2, 1, 3, 1, 1, 2]"
58,58,"[3, 1, 2, 1, 1, 3, 1, 3, 2, 3, 0, 2, 2, 0, 3, 2, 3, 1, 3, 1, 3, 2, 3, 1, 3, 3, 0, 0, 2, 2, 2, 2, 0, 3, 2, 3, 1, 3, 1, 3, 2, 3, 0, 2, 2, 0, 3, 2, 3, 1, 3, 3, 1, 2, 3, 0, 0, 2, 2]"
59,59,"[3, 2, 2, 2, 1, 2, 3, 0, 3, 3, 1, 2, 3, 2, 1, 1, 2, 2, 0, 3, 2, 0, 3, 2, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 0, 0, 3, 3, 1, 2, 3, 3, 0, 2, 2, 1, 1, 2, 1, 3, 3, 0, 2, 0, 0, 2, 1, 3, 2, 0, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 1, 0, 3, 2, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 2, 0, 0, 3, 1]"
60,60,"[3, 3, 1, 2, 3, 2, 1, 2, 1, 1]"
61,61,[]
62,62,[]
63,63,"[3, 3, 3, 0, 0, 2, 3, 1, 1, 2, 2, 2, 0, 3, 2, 2, 0, 0, 3, 1, 3, 2, 2, 1, 3, 2, 3, 1, 3, 3, 3, 0, 0, 2, 2, 2, 3, 3, 3, 1, 1, 2, 2, 0, 2, 0, 3, 2, 3, 1, 2, 1, 3, 3, 3, 0, 0, 2, 2]"
64,64,"[2, 3, 2, 1, 2, 0, 2, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 3, 2, 3, 1, 2, 1, 2, 0, 3, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 2, 1, 3, 1, 3, 3, 0, 2, 3, 3, 1, 2, 2, 2, 1, 2, 0, 3, 3, 3, 3, 0, 2, 2, 0, 2, 2, 1, 3, 2, 3, 1, 1, 2, 0, 3, 0, 3, 2, 3, 0, 2, 2, 1, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 2, 0, 3, 3, 1, 3, 2, 2, 1, 1, 2, 0, 3, 3, 2, 3, 0, 2, 0, 2, 1, 3, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 1, 2, 0, 3, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 2, 0, 3, 1, 3, 2, 3, 0, 2, 0, 0, 2, 1, 3, 3, 1, 3, 3, 1, 1, 2, 0, 3, 2, 2, 2, 2, 0, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 3, 3, 0, 2, 3, 3, 1, 2, 2, 2, 2, 0, 3, 2, 0, 3, 1, 3, 2, 3, 1, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 2, 2, 0, 3, 2, 3, 0, 3, 1, 3, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 2, 2, 3, 3, 3, 0, 2, 2, 2, 1, 1, 2, 0]"
65,65,[]
66,66,"[2, 3, 0, 0, 2, 1, 3, 1, 1, 1, 2, 2, 0, 3, 0, 3, 2, 1, 2, 1, 3, 3, 0, 2, 0, 0, 3, 1, 2, 3, 0, 0, 0, 2, 1, 3, 1, 1, 2, 0, 3, 2, 1, 1, 2, 1, 3, 3, 0, 0]"
67,67,"[0, 2, 3, 1, 2, 0, 2]"
68,68,[]
